symbol_kontrolny,okw_nr,teryt_kod,typ_gminy,numer_obwodu,typ_obszaru,typ_obwodu,siedziba,gmina,powiat,wojewodztwo,karty_otrzymane,wyborcy_uprawnieni,karty_niewykorzystane,wyborcy_ktorym_wydano_karty,wyborcy_z_pelnomocnikiem,wyborcy_z_zaswiadczeniem,wyborcy_wysylkowe_pakiety,koperty_otrzymane,koperty_bez_oswiadczenia,ilosc_kopert_bez_podpisanego_oswiadczenia,koperty_bez_karty,koperty_niezaklejona_koperta_z_glosem,koperty_wrzucone_do_urny,karty_z_urny,karty_z_kopert,karty_niewazne,karty_wazne,glosy_niewazne,glosy_niewazne_wiele_x,glosy_niewazne_brak_x,glosy_niewazne_x_obok,glosy_niewazne_proc,glosy_niewazne_wiele_x_proc,glosy_niewazne_brak_x_proc,glosy_niewazne_x_obok_proc,glosy_wazne_proc,glosy_wazne,wynik_biedron,wynik_bosak,wynik_duda,wynik_holownia,wynik_jakubiak,wynik_kosiniak,wynik_piotrowski,wynik_tanajno,wynik_trzaskowski,wynik_witkowski,wynik_zoltek,wynik_biedron_proc,wynik_bosak_proc,wynik_duda_proc,wynik_holownia_proc,wynik_jakubiak_proc,wynik_kosiniak_proc,wynik_piotrowski_proc,wynik_tanajno_proc,wynik_trzaskowski_proc,wynik_witkowski_proc,wynik_zoltek_proc
4358-6326-7e07-45f4-9bc8-e2db-bb3d-cb23,4,20201,gmina miejska,3,miasto,stały,Zespół Szkół i Placówek Kształcenia Zawodowego; ul. Stefana Żeromskiego 41; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1141,1249,458,683,1,3,9,9,1,0,0,0,8,691,8,0,691,4,2,2,0,0.578871201157742,0.289435600578871,0.289435600578871,0,99.4211287988423,687,12,32,307,104,0,8,0,1,220,1,2,1.74672489082969,4.65793304221252,44.6870451237264,15.1382823871907,0,1.16448326055313,0,0.145560407569141,32.0232896652111,0.145560407569141,0.291120815138282
0fdd-6f81-a6af-e1ea-740e-454a-5c3e-6653,4,20201,gmina miejska,4,miasto,stały,Klub Spółdzielni Mieszkaniowej; Osiedle Włókniarzy 1; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1215,1287,452,763,0,4,3,2,0,0,0,0,2,765,2,1,764,2,1,1,0,0.261780104712042,0.130890052356021,0.130890052356021,0,99.738219895288,762,15,45,353,90,0,12,1,0,245,1,0,1.96850393700787,5.90551181102362,46.3254593175853,11.8110236220472,0,1.5748031496063,0.131233595800525,0,32.1522309711286,0.131233595800525,0
7bc0-6cc3-53fc-ddcb-b59f-8e4f-efd7-2e6f,4,20201,gmina miejska,5,miasto,stały,Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima; Osiedle Włókniarzy 10; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,941,1020,380,561,1,3,4,4,0,0,0,0,4,565,4,0,565,0,0,0,0,0,0,0,0,100,565,13,22,247,94,0,11,1,1,175,0,1,2.30088495575221,3.89380530973451,43.716814159292,16.6371681415929,0,1.94690265486726,0.176991150442478,0.176991150442478,30.9734513274336,0,0.176991150442478
11af-412b-96c9-7efd-af86-9e0f-a24d-5d4a,4,20201,gmina miejska,6,miasto,stały,Szkoła Podstawowa nr 10 z Oddziałami Sportowymi; ul. Parkowa 12; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,987,1084,345,642,0,5,8,8,3,0,0,0,5,647,5,0,647,3,3,0,0,0.463678516228748,0.463678516228748,0,0,99.5363214837712,644,17,42,241,124,0,4,2,0,213,0,1,2.63975155279503,6.52173913043478,37.4223602484472,19.2546583850932,0,0.62111801242236,0.31055900621118,0,33.0745341614907,0,0.15527950310559
3833-2fbe-086b-3dc6-71d7-7ca4-9f76-ef1c,4,20201,gmina miejska,7,miasto,stały,Szkoła Podstawowa nr 10 z Oddziałami Sportowymi; ul. Parkowa 12; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1211,1298,461,750,5,1,9,9,0,0,0,0,9,759,9,0,759,2,1,1,0,0.263504611330698,0.131752305665349,0.131752305665349,0,99.7364953886693,757,22,30,333,100,2,10,1,0,259,0,0,2.90620871862616,3.96301188903567,43.9894319682959,13.2100396301189,0.264200792602378,1.32100396301189,0.132100396301189,0,34.2140026420079,0,0
c46e-f1e9-b0f2-5399-914f-e6a5-7b27-08f9,4,20201,gmina miejska,8,miasto,stały,Żłobek Publiczny; ul. Generała Grota Roweckiego 7; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1092,1159,382,710,1,4,5,5,0,0,0,0,5,715,5,0,715,2,2,0,0,0.27972027972028,0.27972027972028,0,0,99.7202797202797,713,18,41,293,115,2,7,3,3,226,2,3,2.52454417952314,5.75035063113605,41.09396914446,16.1290322580645,0.280504908835905,0.981767180925666,0.420757363253857,0.420757363253857,31.6970546984572,0.280504908835905,0.420757363253857
351e-cf3a-14a3-9ba6-ea4f-4c9c-fbe0-9f95,4,20201,gmina miejska,9,miasto,stały,Szkoła Podstawowa nr 10 z Oddziałami Sportowymi; ul. Parkowa 12; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1067,1138,387,680,0,6,4,4,0,0,0,0,4,684,4,0,684,0,0,0,0,0,0,0,0,100,684,22,32,296,99,0,7,0,1,225,0,2,3.21637426900585,4.67836257309942,43.2748538011696,14.4736842105263,0,1.0233918128655,0,0.146198830409357,32.8947368421053,0,0.292397660818713
2f5a-094f-c91f-f999-5aab-dc4d-1028-f006,4,20201,gmina miejska,10,miasto,stały,"Klub ""Sowa"" Spółdzielni Mieszkaniowej; ul. Jana III Sobieskiego 17; 58-260 Bielawa",m. Bielawa,dzierżoniowski,dolnośląskie,1006,1094,276,730,1,1,6,6,0,0,0,0,6,736,6,0,736,1,0,1,0,0.135869565217391,0,0.135869565217391,0,99.8641304347826,735,18,40,258,146,1,11,1,0,254,1,5,2.44897959183673,5.4421768707483,35.1020408163265,19.8639455782313,0.136054421768707,1.49659863945578,0.136054421768707,0,34.5578231292517,0.136054421768707,0.680272108843537
62a0-fa1d-0315-6333-3d16-dcba-09ac-2079,4,20201,gmina miejska,11,miasto,stały,Szkoła Podstawowa nr 10 z Oddziałami Sportowymi; ul. Generała Grota Roweckiego 6; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,951,1019,350,601,0,3,6,3,0,0,0,0,3,604,3,0,604,3,2,1,0,0.496688741721854,0.33112582781457,0.165562913907285,0,99.5033112582781,601,16,25,262,88,2,6,0,0,201,0,1,2.66222961730449,4.15973377703827,43.5940099833611,14.6422628951747,0.332778702163062,0.998336106489185,0,0,33.4442595673877,0,0.166389351081531
65b2-1b3f-1b30-c0b2-7b99-bbb7-636b-ea71,4,20201,gmina miejska,12,miasto,stały,Szkoła Podstawowa nr 10 z Oddziałami Sportowymi; ul. Generała Grota Roweckiego 6; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,930,980,342,588,1,1,2,2,1,0,0,0,1,589,1,0,589,2,1,1,0,0.33955857385399,0.169779286926995,0.169779286926995,0,99.660441426146,587,14,34,265,80,0,7,2,1,183,0,1,2.38500851788756,5.79216354344123,45.144804088586,13.6286201022147,0,1.19250425894378,0.340715502555366,0.170357751277683,31.175468483816,0,0.170357751277683
b1c3-2eb2-f610-d588-9624-c0a6-a5a3-b629,4,20201,gmina miejska,13,miasto,stały,Przedszkole Publiczne nr 3; ul. 3 Maja 22; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,904,968,360,544,0,0,3,3,0,0,0,0,3,547,3,0,547,1,0,1,0,0.182815356489945,0,0.182815356489945,0,99.8171846435101,546,10,32,257,87,0,10,0,2,147,0,1,1.83150183150183,5.86080586080586,47.0695970695971,15.9340659340659,0,1.83150183150183,0,0.366300366300366,26.9230769230769,0,0.183150183150183
8fe8-e3d2-9cd3-12fe-eb93-3426-c0ed-f078,4,20201,gmina miejska,14,miasto,stały,Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bolesława Chrobrego; ul. Szkolna 5; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1092,1167,381,711,0,4,5,5,0,0,0,0,5,716,5,0,716,2,1,1,0,0.279329608938547,0.139664804469274,0.139664804469274,0,99.7206703910615,714,28,45,215,114,0,7,0,1,301,0,3,3.92156862745098,6.30252100840336,30.1120448179272,15.9663865546219,0,0.980392156862745,0,0.140056022408964,42.156862745098,0,0.420168067226891
1e02-3768-b6d5-c385-b776-d3ed-d32f-4502,4,20201,gmina miejska,15,miasto,stały,Miejski Zarząd Budynków Mieszkalnych Sp. z o. o.; ul. 3 Maja 48; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1069,1150,450,619,1,7,2,2,0,0,0,0,2,621,2,0,621,0,0,0,0,0,0,0,0,100,621,18,34,242,121,0,14,0,0,188,1,3,2.89855072463768,5.47504025764895,38.9694041867955,19.4847020933977,0,2.25442834138486,0,0,30.2737520128824,0.161030595813205,0.483091787439613
970e-98c9-f7a6-c6b8-8dc4-cfea-5e4e-6bee,4,20201,gmina miejska,16,miasto,stały,Zespół Ośrodków Wsparcia; ul. Lotnicza 5; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,921,932,414,507,0,2,3,2,0,0,0,0,2,509,2,0,509,0,0,0,0,0,0,0,0,100,509,12,41,213,59,0,6,1,0,176,0,1,2.35756385068762,8.05500982318271,41.8467583497053,11.5913555992141,0,1.17878192534381,0.196463654223969,0,34.5776031434185,0,0.196463654223969
4bed-6fcc-2e6c-a378-e5ec-0715-8c97-dd3c,4,20201,gmina miejska,17,miasto,stały,Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi; ul. Ludowa 11; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,894,975,414,480,0,5,2,2,1,0,0,0,1,481,1,0,481,1,0,1,0,0.207900207900208,0,0.207900207900208,0,99.7920997920998,480,5,43,197,97,0,8,0,2,127,0,1,1.04166666666667,8.95833333333333,41.0416666666667,20.2083333333333,0,1.66666666666667,0,0.416666666666667,26.4583333333333,0,0.208333333333333
a77c-f85c-8f0b-02e2-54d8-75c6-d386-d6f0,4,20201,gmina miejska,18,miasto,stały,Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi; ul. Ludowa 11; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1132,1223,503,629,1,1,4,4,0,0,0,0,4,633,4,0,633,0,0,0,0,0,0,0,0,100,633,8,46,247,118,1,4,0,1,208,0,0,1.26382306477093,7.26698262243286,39.0205371248025,18.6413902053712,0.157977883096367,0.631911532385466,0,0.157977883096367,32.8593996840442,0,0
9cda-0c05-e56d-1cca-7238-26f4-c8c1-cdaf,4,20201,gmina miejska,19,miasto,stały,Zespół Szkół Cechu Rzemiosł Różnych Zasadnicza Szkoła Zawodowa Cechu Rzemiosł Różnych i Małej Przedsiębiorczości; ul. Polna 2; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1051,1124,447,604,0,6,5,4,0,0,0,0,4,608,4,0,608,2,1,1,0,0.328947368421053,0.164473684210526,0.164473684210526,0,99.6710526315789,606,14,30,253,83,1,6,0,2,217,0,0,2.31023102310231,4.95049504950495,41.7491749174918,13.6963696369637,0.165016501650165,0.99009900990099,0,0.33003300330033,35.8085808580858,0,0
5909-ca0f-3c90-a9c0-8762-418d-f362-dd5c,4,20201,gmina miejska,20,miasto,stały,Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi; ul. Ludwika Waryńskiego 50; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,1108,1193,400,708,4,4,4,4,0,0,0,0,4,712,4,0,712,2,1,1,0,0.280898876404494,0.140449438202247,0.140449438202247,0,99.7191011235955,710,12,41,242,112,1,3,4,0,293,1,1,1.69014084507042,5.77464788732394,34.0845070422535,15.7746478873239,0.140845070422535,0.422535211267606,0.563380281690141,0,41.2676056338028,0.140845070422535,0.140845070422535
58af-8838-458b-8152-c219-08c0-08b0-7cc9,4,20201,gmina miejska,21,miasto,stały,Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi; ul. Ludwika Waryńskiego 50; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,837,886,375,462,0,3,5,5,0,0,1,0,4,466,4,0,466,1,0,1,0,0.214592274678112,0,0.214592274678112,0,99.7854077253219,465,4,38,207,71,0,5,4,1,133,1,1,0.860215053763441,8.17204301075269,44.5161290322581,15.2688172043011,0,1.0752688172043,0.860215053763441,0.21505376344086,28.6021505376344,0.21505376344086,0.21505376344086
5732-f8e7-f377-07af-b275-cc0b-6124-8748,4,20201,gmina miejska,22,miasto,dom pomocy społecznej,Dom Pomocy Społecznej; Stefana Żeromskiego 2; 58-260 Bielawa,m. Bielawa,dzierżoniowski,dolnośląskie,47,40,30,17,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,100,17,0,0,16,0,0,0,0,0,0,1,0,0,0,94.1176470588235,0,0,0,0,0,0,5.88235294117647,0
d667-fe47-ba19-e471-2751-0be8-71e8-fdd8,4,20202,gmina miejska,1,miasto,stały,"Pracownicze Ogródki Działkowe ""Jar""; ul. Złota 10; 58-200 Dzierżoniów",m. Dzierżoniów,dzierżoniowski,dolnośląskie,1108,1192,260,848,0,7,12,11,0,0,1,0,10,858,10,0,858,1,1,0,0,0.116550116550117,0.116550116550117,0,0,99.8834498834499,857,24,56,254,109,1,15,0,2,396,0,0,2.80046674445741,6.53442240373396,29.6382730455076,12.7187864644107,0.116686114352392,1.75029171528588,0,0.233372228704784,46.2077012835473,0,0
c339-7389-8ee3-dbc3-fc05-c060-fff9-6f30,4,20202,gmina miejska,2,miasto,stały,Przedszkole Publiczne nr 7; Osiedle Tęczowe 3; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1425,1536,361,1064,0,5,15,15,0,0,1,0,14,1078,14,0,1078,2,1,1,0,0.185528756957328,0.092764378478664,0.092764378478664,0,99.8144712430427,1076,29,63,362,162,0,18,0,5,434,1,2,2.69516728624535,5.8550185873606,33.6431226765799,15.0557620817844,0,1.6728624535316,0,0.464684014869888,40.3345724907063,0.092936802973978,0.185873605947955
4673-af1b-d47a-5843-d8b6-9a3e-3473-4f79,4,20202,gmina miejska,3,miasto,stały,dawna siedziba Ośrodka Pomocy Społecznej; ul. Złota 8; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,936,1018,314,622,0,1,6,6,0,0,0,0,6,628,6,0,628,1,0,1,0,0.159235668789809,0,0.159235668789809,0,99.8407643312102,627,12,50,283,69,1,8,1,0,203,0,0,1.91387559808612,7.97448165869219,45.1355661881978,11.0047846889952,0.159489633173844,1.27591706539075,0.159489633173844,0,32.3763955342903,0,0
c569-f176-7ab0-4373-6482-5832-bda6-cdd2,4,20202,gmina miejska,4,miasto,stały,Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi; Osiedle Błękitne 25; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,926,1003,255,671,0,3,5,5,0,0,0,0,5,676,5,0,676,4,0,4,0,0.591715976331361,0,0.591715976331361,0,99.4082840236687,672,22,21,310,75,1,5,0,1,237,0,0,3.27380952380952,3.125,46.1309523809524,11.1607142857143,0.148809523809524,0.744047619047619,0,0.148809523809524,35.2678571428571,0,0
7697-9a1e-552b-1bf8-7bb8-55a3-bf29-a575,4,20202,gmina miejska,5,miasto,stały,"Przedszkole Niepubliczne nr 3 ""Pod Topolą""; Osiedle Błękitne 26; 58-200 Dzierżoniów",m. Dzierżoniów,dzierżoniowski,dolnośląskie,1074,1210,325,749,0,3,2,2,0,0,0,0,2,751,2,0,751,1,0,1,0,0.133155792276964,0,0.133155792276964,0,99.866844207723,750,17,37,302,103,0,6,1,3,276,3,2,2.26666666666667,4.93333333333333,40.2666666666667,13.7333333333333,0,0.8,0.133333333333333,0.4,36.8,0.4,0.266666666666667
c1fa-305a-39b8-5131-1b37-fd77-32f8-8c3c,4,20202,gmina miejska,6,miasto,stały,Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi; Osiedle Błękitne 25; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1182,1286,332,850,2,3,7,7,0,0,0,0,7,856,7,0,856,4,0,4,0,0.467289719626168,0,0.467289719626168,0,99.5327102803738,852,15,64,331,105,0,20,0,1,315,0,1,1.76056338028169,7.51173708920188,38.849765258216,12.3239436619718,0,2.34741784037559,0,0.117370892018779,36.9718309859155,0,0.117370892018779
2a3c-6600-2b61-6e21-d99a-90a0-80cb-0183,4,20202,gmina miejska,7,miasto,stały,Szkoła Podstawowa nr 1; ul. Sikorskiego 2; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1067,1124,357,710,0,3,6,6,1,0,0,0,5,715,5,0,715,1,0,1,0,0.13986013986014,0,0.13986013986014,0,99.8601398601399,714,11,33,285,80,1,12,0,0,291,0,1,1.5406162464986,4.6218487394958,39.9159663865546,11.2044817927171,0.140056022408964,1.68067226890756,0,0,40.7563025210084,0,0.140056022408964
a36b-5cd1-cd79-4609-a2e2-f80a-2425-3463,4,20202,gmina miejska,8,miasto,stały,Filia Miejsko-Powiatowej Biblioteki Publicznej im. K. K. Baczyńskiego w Dzierżoniowie; ul. Sikorskiego 2; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1053,1118,313,740,0,0,3,3,0,0,0,0,3,743,3,0,743,1,0,1,0,0.134589502018843,0,0.134589502018843,0,99.8654104979812,742,18,46,302,95,3,8,1,0,268,1,0,2.42587601078167,6.19946091644205,40.7008086253369,12.8032345013477,0.404312668463612,1.07816711590296,0.134770889487871,0,36.1185983827493,0.134770889487871,0
5c6b-be4a-ed95-0adb-d315-b4ac-5443-8034,4,20202,gmina miejska,9,miasto,stały,Przedszkole Niepubliczne nr 4; Osiedle Jasne 21; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1000,1077,281,719,1,0,10,10,0,0,0,0,10,730,10,2,728,2,0,2,0,0.274725274725275,0,0.274725274725275,0,99.7252747252747,726,21,26,263,99,2,11,0,0,304,0,0,2.89256198347107,3.58126721763085,36.2258953168044,13.6363636363636,0.275482093663912,1.51515151515152,0,0,41.8732782369146,0,0
85fa-076f-2da9-27a0-f4b1-61d3-6550-7cde,4,20202,gmina miejska,10,miasto,stały,"Niepubliczny Żłobek ""Sówka""; Osiedle Jasne 22; 58-200 Dzierżoniów",m. Dzierżoniów,dzierżoniowski,dolnośląskie,759,815,204,555,1,2,1,1,0,0,0,0,1,556,1,0,556,1,0,1,0,0.179856115107914,0,0.179856115107914,0,99.8201438848921,555,13,23,231,63,1,10,0,3,209,1,1,2.34234234234234,4.14414414414414,41.6216216216216,11.3513513513514,0.18018018018018,1.8018018018018,0,0.540540540540541,37.6576576576577,0.18018018018018,0.18018018018018
d906-4822-9e72-da55-3f1e-09fc-b490-0fec,4,20202,gmina miejska,11,miasto,stały,Niepubliczna Szkoła Podstawowa Sióstr Salezjanek; ul. Wrocławska 51; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1154,1232,279,875,1,3,3,3,0,0,0,0,3,878,3,0,878,4,2,2,0,0.455580865603645,0.227790432801822,0.227790432801822,0,99.5444191343963,874,12,66,276,114,2,14,2,1,381,1,5,1.37299771167048,7.55148741418764,31.5789473684211,13.0434782608696,0.22883295194508,1.60183066361556,0.22883295194508,0.11441647597254,43.5926773455378,0.11441647597254,0.5720823798627
0014-f3ca-d136-70f7-327a-19a7-0de3-857f,4,20202,gmina miejska,12,miasto,stały,budynek Szkoły Podstawowej nr 9 - mała sala gimnastyczna; ul. Kościelna 34; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1096,1185,476,620,0,0,7,7,0,0,0,0,7,627,7,0,627,3,1,2,0,0.478468899521531,0.159489633173844,0.318979266347687,0,99.5215311004785,624,15,47,270,72,3,11,2,0,202,2,0,2.40384615384615,7.53205128205128,43.2692307692308,11.5384615384615,0.480769230769231,1.76282051282051,0.320512820512821,0,32.3717948717949,0.320512820512821,0
23ab-b534-fb0e-7398-c8c7-69d8-8068-3c3d,4,20202,gmina miejska,13,miasto,stały,I Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego; ul. Piłsudskiego 10; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1053,1147,482,570,0,3,5,5,1,0,0,0,4,575,4,0,575,3,0,3,0,0.521739130434783,0,0.521739130434783,0,99.4782608695652,572,12,45,277,54,3,3,0,0,177,0,1,2.0979020979021,7.86713286713287,48.4265734265734,9.44055944055944,0.524475524475524,0.524475524475524,0,0,30.9440559440559,0,0.174825174825175
3726-c5f1-6a5a-f970-cb2f-bd17-b731-7c7b,4,20202,gmina miejska,14,miasto,stały,Zespół Szkół Nr 3 im. Kombatantów Rzeczypospolitej Polskiej; ul. Słowiańska 6; 58-200 Dzierżoniów,m. Dzierżoniów,dzierżoniowski,dolnośląskie,1107,1241,402,705,0,3,11,11,1,0,1,1,8,713,8,0,713,2,2,0,0,0.280504908835905,0.280504908835905,0,0,99.7194950911641,711,9,37,292,79,0,19,0,2,272,0,1,1.26582278481013,5.20393811533052,41.0689170182841,11.1111111111111,0,2.67229254571027,0,0.281293952180028,38.2559774964838,0,0.140646976090014