symbol_kontrolny,karty_niewazne,siedziba
c71e-c5e4-3be5-6002-69df-9549-8a9f-8fe7,7,"Szkoła Podstawowa nr 1, ul. Hezjoda 15, 60-461 Poznań"
4d0e-3583-a750-8b3d-9c2c-2913-c3ed-3b68,6,"Przedsiębiorstwo Wodociągów i Kanalizacji, Aleja Wojska Polskiego 6/1a, 59-700 Bolesławiec"
5788-0515-5ebc-512f-3a1e-b471-81b2-a275,6,"Świetlica Wiejska, Mrozów ul. Wyzwolenia 24, 55-330 Miękinia"
8b2f-6bb3-589b-bb4e-195a-fef3-f93d-77b7,6,"Zespół Szkolno-Przedszkolny w Smolcu, Smolec ul. Kościelna 2, 55-080 Kąty Wrocławskie"
482d-6f09-c33d-1ec5-6817-fe2e-7be4-ff3a,6,"Zespół Szkolno-Przedszkolny nr 17, ul. Wieczysta 105, 50-550 Wrocław"
3e02-fb17-9aa2-b71c-f91e-94fe-d4a7-fa25,6,"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław"
7f90-ca54-e75e-c848-4ab4-8509-25bb-e476,6,"Szkoła Podstawowa Nr 8, ul. Łyskowskiego 28, 87-100 Toruń"
67ce-996f-62c6-7d24-0ed1-03df-7b67-e738,6,"Zespół Szkolno-Przedszkolny nr 4 Przedszkole nr 20, ul. Gen. Władysława Sikorskiego 6A, 97-200 Tomaszów Mazowiecki"
af78-7f4e-d2b6-efbc-547b-e7e6-7646-ec8f,6,"XXXIV Liceum Ogólnokształcące im. Krzysztofa Kieślowskiego, ul. Wapienna 17, 91-087 Łódź"
f858-4a36-7523-5aac-e08f-fce9-08bf-8d5b,6,"Zespół Szkół Nr 5, ul. Mackiewicza 15, 31-214 Kraków"
345b-2b37-1305-274f-6f0a-0be7-c580-5259,6,"Zespół Szkolno-Przedszkolny Nr 5, os. Oświecenia 30, 31-636 Kraków"
7dee-5770-38fb-9e69-abc9-3b2b-fbff-80bd,6,"Przedszkole Nr 2 im. Pyzy Wędrowniczki, ul. Polna 32, 05-200 Wołomin"
9037-9c5f-eef0-f2a2-eb60-9fc9-d63e-b7ef,6,"Szkoła Podstawowa Nr 377 im. mjr. Henryka Dobrzańskiego ""Hubala"", ul. Trocka 4, 03-563 Warszawa"
fc9a-b89a-ac54-7995-af06-5055-8931-b051,6,"Zakład Remontów i Konserwacji Dróg, ul. Kompanii Kordian 44, 02-495 Warszawa"
e449-9cf5-643f-4e61-b801-b310-6ef9-d5ba,6,"Paryż II, Ambasada RP w Paryżu 57, rue Saint Dominique 75007 Paris, Paryż, Republika Francuska"
21c5-a7ef-4be9-e7fa-4ca1-5942-d88b-6666,6,"Oslo II, Ambasada RP Olav Kyrres plass 1 0244 Oslo, Oslo, Królestwo Norwegii"
c43a-a466-0d34-9aa3-b5e7-6c9d-1361-ba95,6,"Szkoła Podstawowa Nr 12, Gdańsk ul. Człuchowska 6, 80-180 Gdańsk 42"
192f-5a72-092d-e71d-56c0-2717-b0b6-f2ab,6,"Miejsko-Gminny Ośrodek Kultury, ul. Poznańska 33, 62-025 Kostrzyn"
5c70-bb64-6ee7-704d-9835-7019-abe4-9add,6,"Szkoła Podstawowa Nr 51, ul. Mikołajczyka 20, 71-075 Szczecin"
7d45-d1c0-ce21-2f19-63e0-4c8d-10ed-6151,5,"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 6 im. Janusza Korczaka w Oleśnicy, ul. gen. Franciszka Kleeberga 4, 56-400 Oleśnica"
d41e-0399-3bc8-53ff-eb11-9f2d-7ddb-7d4b,5,"Szkoła Podstawowa Nr 10, ul. Morcinka 31, 58-500 Jelenia Góra"
0cf2-0c54-604c-f2c6-99fb-019e-fbc3-923c,5,"Rada Osiedla Biskupin-Sępolno-Dąbie-Bartoszowice, ul. Fryderyka Pautscha 4, 51-651 Wrocław"
4bc8-f790-9627-361a-9908-6e25-61e4-5cf4,5,"Zespół Szkół Nr 11, Papieżka 89, 87-800 Włocławek"
45d8-ff1b-ccd9-1bd2-71d2-3e20-4f04-2a9d,5,"Szkoła Podstawowa, Lokal Nr 1, Gołąb Puławska 32, 24-100 Puławy"
d378-e8b5-f49c-a91e-ccd8-2638-8ad8-e53c,5,"Zielonogórska Spółdzielnia Mieszkaniowa Administracja Osiedla Łużyckie, ul. Krośnieńska 17c, 65-625 Zielona Góra"
b47f-7c4f-ebc4-d138-d991-5a40-381e-bcb1,5,"Zespół Szkół Specjalnych Nr 1, ul. Piastowska 9, 65-515 Zielona Góra"
4dc9-28d3-2cfb-a9fb-8009-b3f3-8378-2705,5,"Zespół Szkół Specjalnych Nr 1, ul. Piastowska 9, 65-515 Zielona Góra"
f292-5243-618f-704f-c343-6f38-5679-6956,5,"Szkoła Podstawowa nr 8, ul. Kąpielowa 7, 65-383 Zielona Góra"
895b-417a-01cc-dcc1-a681-2ae7-aa7b-83d8,5,"Szkoła Podstawowa nr 169 im. Marii Dąbrowskiej, ul. Napoleońska 7/17, 94-231 Łódź"
420e-c33c-ed3d-0877-0137-9fb5-76c2-3682,5,"Szkoła Podstawowa Nr 95, ul. Wileńska 9b, 31-413 Kraków"
361c-f650-f3d0-e5ec-4e14-fd2a-c1a9-5e55,5,"Szkoła Podstawowa im. Bł. Celiny Borzęckiej, ul. Malborska 98, 30-624 Kraków"
95cf-62b8-b3f3-4536-9994-7317-a594-20bf,5,"Oddział Szkoły Podstawowej nr 5, ul. Sikorskiego 20, 05-500 Piaseczno"
8859-772c-c27f-61e9-176f-42bd-af18-d1c4,5,"Miejskie Przedszkole Nr 13, ul. Antka 7, 05-800 Pruszków"
d35f-8bc4-ed89-ba70-818a-7464-34ba-6af2,5,"Szkoła Podstawowa nr 319, ul. Wokalna 1, 02-787 Warszawa"
7790-92c2-8e92-5243-e556-0fe8-4a32-f23e,5,"Gminny Ośrodek Kultury w Czeremsze, ul. 1 - go Maja 77, 17-240 Czeremcha"
4f10-13ac-8bbd-f644-6a9f-fb39-69c4-d456,5,"Gminny Ośrodek Kultury w Krypnie, Krypno Wielkie 9, 19-111 Krypno Kościelne"
1471-735d-2e45-a49f-5237-5d61-2506-9644,5,"Szkoła Podstawowa nr 1, ul. Zblewska 18, 83-200 Starogard Gdański"
e28e-3652-5ede-6f02-d7a8-7ba5-e930-ff20,5,"XXI Liceum Ogólnokształcące z Oddziałami Sportowymi, Gdańsk ul. Kołobrzeska 75, 80-396 Gdańsk 53"
f36e-373f-564d-7b95-6e9d-666f-3fa6-8ad9,5,"Zespół Szkolno-Przedszkolny w Wojkowicach Kościelnych, ul. Zachodnia 4, 42-510 Wojkowice Kościelne"
668f-e1d3-a97d-8631-fc1b-f0dc-c797-40f8,5,"Szkoła Podstawowa nr 35 im. Ks. Franciszka Blachnickiego, ul. Śląska 18A, 44-206 Rybnik"
7d87-a265-45f4-43aa-5110-3688-ee60-de9a,5,"Urząd Miasta, ul. Strycharska 6, 25-361 Kielce"
eacf-d1cd-57de-eede-83dc-fcbe-7580-58d9,5,"Miejsko-Gminny Ośrodek Kultury, Sądowa 23, 13-230 Lidzbark"
7257-4670-9d09-18d3-23ef-1fbc-3f56-3264,5,"Szkoła Podstawowa we Wrzesinie (hol na parterze), Wrzesina 43, 11-042 Jonkowo"
47ee-2e94-96ac-1b0b-954f-08f8-f566-557c,5,"Przedszkole nr 134 „Słoneczny Świat”, os. Kosmonautów 108, 61-642 Poznań"
ac69-7e74-d578-cc21-cd89-8ff6-4e90-0acb,5,"Zespół Szkół w Stargardzie, ul. Popiela 2, 73-110 Stargard"
07b4-58eb-ea85-d881-f28b-d320-3715-75d5,4,"Cech Rzemiosł Różnych oraz Małej i Średniej Przedsiębiorczości w Oleśnicy, ul. Wrocławska 41 - 43, 56-400 Oleśnica"
d4a6-4c6d-ce4c-7cdb-dd43-55a8-ffe6-1266,4,"Szkoła Podstawowa w Kiełczowie, ul. Szkolna 3, 55-093 Kiełczów"
e798-131a-b384-64ef-686a-bbc8-ca2a-d53e,4,"Szkoła Podstawowa nr 61, ul. Skarbowców 8, 53-025 Wrocław"
785b-2997-e443-ff01-3723-9fa0-30ff-2690,4,"Zespół Szkolno-Przedszkolny, ul. Stasia i Nel 2, 21-400 Łuków"
bd27-e442-f1ca-4240-5394-cc03-779f-c866,4,"Miejska Biblioteka Publiczna w Brzezinach, ul. św. Anny 36, 95-060 Brzeziny"
040b-c85e-a3dc-366c-af37-bd37-646a-fecd,4,"Szkoła Podstawowa Nr 1, ul. św. Marka 34, 31-024 Kraków"
268c-d8f0-16f0-a7df-3e44-df04-afa6-23de,4,"Zespół Szkolno-Przedszkolny Nr 11, ul. Aleksandry 17, 30-837 Kraków"
441e-dc4d-d2f5-4ca0-5763-055d-8a5f-bf16,4,"Szkoła Podstawowa im. Armii Krajowej, Jabłonna Szkolna 2, 05-110 JABŁONNA"
ba87-358c-4673-bd94-b86c-962e-ac5a-5d5f,4,"Zespół Placówek Oświatowych Nr 3 Miejskie Przedszkole Samorządowe, ul. Hoża 6, 06-500 Mława"
5a43-f054-8874-6c10-8d0f-bc28-cc6e-4e12,4,"Zespół Szkół, ul. Karola Namysłowskiego 11, 05-820 Piastów"
d71a-8d12-a13c-2806-20fc-d122-3689-b9cb,4,"Zespół Szkół Zawodowych im. Jana Ruszkowskiego, Aleja Tysiąclecia 12, 06-100 Pułtusk"
9323-6e96-305a-bd02-346b-3d38-ed5e-53bb,4,"Przedszkole /modułowe/ w Ożarowie Mazowieckim, ul. Szkolna 3, 05-850 Ożarów Mazowiecki"
1d7b-5eb9-09e5-918b-aa54-84a6-647f-2a10,4,"TBS, ul. gen. T. Pełczyńskiego 30, 01-471 Warszawa"
2abc-1b0e-e9a1-40c2-03f1-06ce-8b56-6233,4,"Budynek Świetlicy na Skwerze Sportów Miejskich, ul. Gen. Tadeusza Pełczyńskiego 22H, 01-471 Warszawa"
9143-b703-feec-a34d-f7df-c7e4-da58-5721,4,"Szkoła Podstawowa nr 263, Szegedyńska 11, 01-957 Warszawa"
452c-180d-4ff2-d056-ef4f-d300-e342-4741,4,"Przedszkole Nr 284, ul. Jałtańska 8, 02-760 Warszawa"
aa1c-112d-8efd-f668-d6d8-9012-5e4e-4d41,4,"Szkoła Podstawowa nr 72, ul. L. M. Paca 44, 04-395 Warszawa"
72c3-6793-dc26-f41d-509a-e598-ed79-85c3,4,"LXVII Liceum Ogólnokształcące, ul. Hoża 11/15, 00-528 Warszawa"
74be-75c3-ac01-6cb3-ff6a-5ad7-0f69-3aa8,4,"Szkoła Podstawowa Nr 84 im. Waleriana Łukasińskiego, ul. Radzymińska 227, 03-611 Warszawa"
899a-dced-bb4d-1a9c-0150-70ea-9271-19f4,4,"Prywatna Szkoła Podstawowa Nr 6, ul. Jerzego Zaruby 2, 02-796 Warszawa"
7cc3-05b2-c268-4cce-6ec0-6393-1bd8-c2fc,4,"Szkoła Podstawowa nr 100, ul. Taneczna 54/58, 02-829 Warszawa"
101c-5fe6-db37-7d0e-70c0-53fb-0fde-91bf,4,"Młodzieżowy Ośrodek Socjoterapii „Dom na Trakcie”, ul. Trakt Lubelski 40, 04-870 Warszawa"
33b7-dff9-ef6c-091e-0210-e9ce-fa53-0cd0,4,"Szkoła Podstawowa nr 238, ul. Redutowa 37, 01-106 Warszawa"
d062-2443-ecf2-ada9-7810-5152-07e2-2dcb,4,"Berlin I, Ambasada RP Lassenstraße 19 – 21 14193 Berlin, Berlin, Republika Federalna Niemiec"
9b5d-bbad-0b06-04a6-3e71-24f4-161f-0289,4,"Kolonia I, Konsulat Generalny RP Im Media Park 5 C 50670 Köln, Kolonia, Republika Federalna Niemiec"
c9f4-c240-7cc0-8596-bf25-1324-194f-8957,4,"Chicago I, Konsulat Generalny RP 1530 N Lake Shore Drive Chicago, IL 60610, Chicago, Stany Zjednoczone Ameryki"
953d-cc67-32ec-3fd6-037e-3ed3-2ac6-6ef5,4,"Kolonia IV, Konsulat Generalny RP Im Media Park 5 C 50670 Köln, Kolonia, Republika Federalna Niemiec"
4b11-a2ad-281f-b4c9-9ab9-d397-0648-7cb1,4,"Szkoła Podstawowa Nr 2 w Humniskach, Humniska 877, 36-206 Humniska"
b511-2b42-33b1-070b-12ca-1b06-6ce8-2a80,4,"Przedszkole Nr 3, al. Wojska Polskiego 8b, 83-200 Starogard Gdański"
d56c-3031-4ce7-a533-3c73-f8bd-c084-9483,4,"Szkoła Podstawowa nr 6, ul. Gniewowska 33, 84-240 Reda"
d0d9-f479-3da3-382e-0bff-ae71-c39d-7ea8,4,"Szkoła Podstawowa nr 1 (część sali gimnastycznej-wejście B), ul. Szkolna 13, 84-242 Luzino"
e6bc-a8ee-e36c-47be-4226-ebda-b296-2cf0,4,"Szkoła Podstawowa Nr 29, Gdańsk ul. Miałki Szlak 74, 80-717 Gdańsk 50"
f96a-93bf-d457-ee42-2e5a-5435-9fd5-c7c1,4,"Przedszkole nr 44, ul. Tatarczana 4, 81-591 Gdynia"
4946-615f-5853-d378-549c-3275-f9de-d7a1,4,"Szkoła Podstawowa nr 39, ul. adm. J. Unruga 88, 81-181 Gdynia"
a53c-78e8-2ce8-d488-7f7c-0f14-1180-4bbd,4,"Przychodnia Rejonowa, ul. 11 Listopada 7, 76-200 Słupsk"
6f6c-9766-75a4-d033-cf46-d71e-0e66-f85d,4,"Szkoła Podstawowa Nr 5, ul. Leśna 23, 42-600 Tarnowskie Góry"
00b5-ec89-288b-4790-56cf-fa5a-631c-2ec4,4,"Szkoła Podstawowa Specjalna Nr 40, ul. Orląt Lwowskich 12b, 41-902 Bytom"
c40e-8f50-2d2f-f01d-e644-2f74-8300-9d42,4,"Szkoła Podstawowa dla Dziewcząt PŁOMIEŃ, ul. Karliczka 15, 40-488 Katowice"
46a7-7c16-91e1-dd18-b227-ed21-48d1-8683,4,"Przedszkole Samorządowe nr 32, ul. Jana Kasprowicza 5, 25-411 Kielce"
a839-ba5e-f6c3-952b-43fa-bdd5-cd93-24c2,4,"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań"
af86-5e48-b083-ae3d-0fea-214e-2aa2-7bda,4,"Szkoła Podstawowa nr 59 im. gen. J. H. Dąbrowskiego, ul. Baranowska 1, 61-353 Poznań"
1db6-03b6-6a02-66d7-5a7d-70f8-4759-c083,4,"Szkoła Podstawowa nr 90 im. hr. Władysława Zamoyskiego, ul. Józefa Chociszewskiego 56, 60-261 Poznań"
0a70-803c-b4af-9778-6326-2ea6-fd65-ae7b,4,"Zespół Szkolno-Przedszkolny nr 11, os. Bolesława Chrobrego 105, 60-681 Poznań"
1ad3-39ef-914d-5b28-b50e-8fb3-84bc-9920,4,"Szkoła Podstawowa Nr 10, ul. Fryderyka Chopina 42, 75-567 Koszalin"
3048-13dd-bd5c-dacd-0849-86e1-183d-7371,4,"Publiczna Szkoła Podstawowa „Na Głębokiem”, ul. Jaworowa 41, 71-382 Szczecin"
